City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uturoa,-16.7333,-151.4333,27.68,74,4,7.71,PF,1738274331
1,bethel,41.3712,-73.414,-0.03,47,31,1.79,US,1738274142
2,vilyuysk,63.7553,121.6247,-40.95,100,87,1.32,RU,1738274267
3,bredasdorp,-34.5322,20.0403,20.55,61,0,4.77,ZA,1738274116
4,margaret river,-33.95,115.0667,15.74,90,5,3.18,AU,1738274121
5,port-aux-francais,-49.35,70.2167,6.94,88,98,14.43,TF,1738274114
6,iskateley,67.6803,53.1512,-18.19,99,56,2.72,RU,1738274341
7,grytviken,-54.2811,-36.5092,4.6,73,52,7.14,GS,1738274131
8,iqaluit,63.7506,-68.5145,-20.73,70,100,10.8,CA,1738274250
9,wildwood,38.5828,-90.6629,8.52,86,100,3.6,US,1738274345
10,arraial do cabo,-22.9661,-42.0278,27.92,65,75,6.17,BR,1738274119
11,adamovka,51.5223,59.9396,-9.65,97,96,2.5,RU,1738274347
12,whitehorse,60.7161,-135.0538,-19.99,70,75,5.14,CA,1738274270
13,puerto cabezas,14.0351,-83.3888,29.98,84,20,4.12,NI,1738274350
14,olonkinbyen,70.9221,-8.7187,-3.73,83,98,3.23,SJ,1738274122
15,ribeira brava,32.65,-17.0667,16.35,68,88,1.44,PT,1738274352
16,egilsstadir,65.2653,-14.3948,2.95,70,75,3.6,IS,1738274354
17,sirte,31.2089,16.5887,13.61,63,0,4.76,LY,1738274355
18,kutum,14.2,24.6667,12.96,28,32,4.96,SD,1738274356
19,blackmans bay,-43.0167,147.3167,15.96,71,70,0.89,AU,1738274117
20,aasiaat,68.7098,-52.8699,-12.21,65,65,6.36,GL,1738274287
21,teluk nibung,3.001,99.8164,22.42,97,40,1.73,ID,1738274360
22,bethlehem,-1.4558,-48.5044,27.02,89,75,2.06,BR,1738274362
23,barah,13.7,30.3667,17.25,22,4,5.01,SD,1738274363
24,isafjordur,66.0755,-23.124,-0.98,82,98,7.32,IS,1738274227
25,kodiak,57.79,-152.4072,-6.27,45,0,5.66,US,1738274241
26,muravlenko,63.7898,74.523,-29.51,100,34,2.15,RU,1738274367
27,jamestown,42.097,-79.2353,3.09,60,0,5.14,US,1738274208
28,edinburgh of the seven seas,-37.0676,-12.3116,14.64,60,17,2.46,SH,1738274157
29,badger,64.8,-147.5333,-26.68,76,40,1.54,US,1738274135
30,san patricio,28.017,-97.5169,21.97,71,100,6.1,US,1738274372
31,sitka,57.0531,-135.33,-0.06,69,75,4.12,US,1738274049
32,georgetown,5.4112,100.3354,25.96,68,20,2.06,MY,1738274002
33,hanzhong,33.0728,107.0303,5.78,90,100,1.38,CN,1738274376
34,portland,45.5234,-122.6762,6.36,82,100,2.06,US,1738274038
35,vilyuchinsk,52.9306,158.4028,-2.85,81,100,3.7,RU,1738274187
36,krustpils,56.5067,25.8738,4.18,89,92,3.65,LV,1738274381
37,adamstown,-25.066,-130.1015,25.23,68,46,5.99,PN,1738274181
38,butte,39.6499,-121.5677,12.94,63,5,1.64,US,1738274384
